"","driverId","lap_number","lap_time","pitstop","pitstop_lagged"
"394",8,24,92332,FALSE,0
"395",8,25,93492,FALSE,0
"396",8,26,92662,FALSE,0
"397",8,27,92666,FALSE,0
"398",8,28,92373,FALSE,0
"399",8,29,92164,FALSE,0
"400",8,30,92080,FALSE,0
"401",8,31,92423,FALSE,0
"402",8,32,112120,TRUE,0
"403",8,33,99549,FALSE,1
"404",8,34,91739,FALSE,0
"405",8,35,91269,FALSE,0
"406",8,36,91247,FALSE,0
"407",8,37,91081,FALSE,0
"408",8,38,91339,FALSE,0
"409",8,39,91194,FALSE,0
"410",8,40,90946,FALSE,0
"411",8,41,91027,FALSE,0
"412",8,42,91773,FALSE,0
"413",8,43,91141,FALSE,0
"414",8,44,90818,FALSE,0
"415",8,45,90969,FALSE,0
"416",8,46,90700,FALSE,0
"417",8,47,90735,FALSE,0
"418",8,48,90617,FALSE,0
"419",8,49,90620,FALSE,0
"420",8,50,90696,FALSE,0
"421",8,51,90384,FALSE,0
"422",8,52,91132,FALSE,0
"423",8,53,91237,FALSE,0
"424",8,54,91687,FALSE,0
"425",8,55,90778,FALSE,0
"426",8,56,92265,FALSE,0
"427",8,57,91229,FALSE,0
"428",8,58,91830,FALSE,0
"429",9,1,106144,FALSE,0
"430",9,2,96233,FALSE,0
"431",9,3,94726,FALSE,0
"432",9,4,95355,FALSE,0
"433",9,5,94400,FALSE,0
"434",9,6,93278,FALSE,0
"435",9,7,92903,FALSE,0
"436",9,8,93099,FALSE,0
"437",9,9,93621,FALSE,0
"438",9,10,94053,FALSE,0
"439",9,11,94857,FALSE,0
"440",9,12,112624,TRUE,0
"441",9,13,98812,FALSE,1
"442",9,14,92679,FALSE,0
"443",9,15,91904,FALSE,0
"444",9,16,92289,FALSE,0
"445",9,17,92186,FALSE,0
"446",9,18,91832,FALSE,0
"447",9,19,91958,FALSE,0
"448",9,20,91936,FALSE,0
"449",9,21,92002,FALSE,0
"450",9,22,92336,FALSE,0
"451",9,23,91955,FALSE,0
"452",9,24,92198,FALSE,0
"453",9,25,93475,FALSE,0
"454",9,26,92371,FALSE,0
"455",9,27,113552,TRUE,0
"456",9,28,96900,FALSE,1
"457",9,29,90097,FALSE,0
"458",9,30,90103,FALSE,0
"459",9,31,90081,FALSE,0
"460",9,32,90177,FALSE,0
"461",9,33,90379,FALSE,0
"462",9,34,90356,FALSE,0
"463",9,35,90427,FALSE,0
"464",9,36,90314,FALSE,0
"465",9,37,90739,FALSE,0
"466",9,38,90399,FALSE,0
"467",9,39,91121,FALSE,0
"468",9,40,91094,FALSE,0
"469",9,41,91632,FALSE,0
"470",9,42,110315,TRUE,0
"471",9,43,97745,FALSE,1
"472",9,44,90029,FALSE,0
"473",9,45,89608,FALSE,0
"474",9,46,89840,FALSE,0
"475",9,47,89837,FALSE,0
"476",9,48,89597,FALSE,0
"477",9,49,89487,FALSE,0
"478",9,50,89867,FALSE,0
"479",9,51,89937,FALSE,0
"480",9,52,89657,FALSE,0
"481",9,53,89507,FALSE,0
"482",9,54,90401,FALSE,0
