"Date","BitcoinTransactions"
"2014-06-27",56883
"2014-06-28",52251
"2014-06-29",49922
"2014-06-30",71054
"2014-07-01",67724
"2014-07-02",66728
"2014-07-03",61901
"2014-07-04",48515
"2014-07-05",49954
"2014-07-06",59986
"2014-07-07",70042
"2014-07-08",70117
"2014-07-09",64146
"2014-07-10",59949
"2014-07-11",59077
"2014-07-12",53123
"2014-07-13",59877
"2014-07-14",62761
"2014-07-15",67767
"2014-07-16",68638
"2014-07-17",66233
"2014-07-18",58490
"2014-07-19",54742
"2014-07-20",52001
"2014-07-21",66921
"2014-07-22",68901
"2014-07-23",66883
"2014-07-24",63135
"2014-07-25",57528
"2014-07-26",56333
"2014-07-27",59561
"2014-07-28",64697
"2014-07-29",61607
"2014-07-30",67721
"2014-07-31",69283
"2014-08-01",67915
"2014-08-02",52550
"2014-08-03",63052
"2014-08-04",67847
"2014-08-05",78820
"2014-08-06",70732
"2014-08-07",69913
"2014-08-08",62960
"2014-08-09",58486
"2014-08-10",57913
"2014-08-11",78844
"2014-08-12",75011
"2014-08-13",75738
"2014-08-14",69698
"2014-08-15",75339
"2014-08-16",67974
"2014-08-17",67980
"2014-08-18",75458
"2014-08-19",74740
"2014-08-20",75470
"2014-08-21",68234
"2014-08-22",66998
"2014-08-23",55023
"2014-08-24",66411
"2014-08-25",69894
"2014-08-26",74318
"2014-08-27",69208
"2014-08-28",68628
"2014-08-29",63834
"2014-08-30",59751
"2014-08-31",57755
"2014-09-01",71539
"2014-09-02",72036
"2014-09-03",71868
"2014-09-04",67048
"2014-09-05",67529
"2014-09-06",63369
"2014-09-07",71754
"2014-09-08",79868
"2014-09-09",81812
"2014-09-10",67673
"2014-09-11",66303
"2014-09-12",68384
"2014-09-13",66033
"2014-09-14",74142
"2014-09-15",78666
"2014-09-16",79784
"2014-09-17",79754
"2014-09-18",77364
"2014-09-19",62315
"2014-09-20",63151
"2014-09-21",59800
"2014-09-22",71140
"2014-09-23",81104
"2014-09-24",74974
"2014-09-25",73278
"2014-09-26",66942
"2014-09-27",62973
"2014-09-28",73283
"2014-09-29",78590
"2014-09-30",78006
"2014-10-01",74630
"2014-10-02",72698
"2014-10-03",75121
"2014-10-04",66673
"2014-10-05",75126
"2014-10-06",78049
"2014-10-07",80324
"2014-10-08",78944
"2014-10-09",82789
"2014-10-10",65724
"2014-10-11",63946
"2014-10-12",63509
"2014-10-13",81491
"2014-10-14",77131
"2014-10-15",76257
"2014-10-16",71826
"2014-10-17",69474
"2014-10-18",66477
"2014-10-19",78443
"2014-10-20",81421
"2014-10-21",81651
"2014-10-22",79173
"2014-10-23",81643
"2014-10-24",77906
"2014-10-25",70537
"2014-10-26",80135
"2014-10-27",83977
"2014-10-28",90268
"2014-10-29",93338
"2014-10-30",92622
"2014-10-31",74548
"2014-11-01",75827
"2014-11-02",77170
"2014-11-03",90386
"2014-11-04",89249
"2014-11-05",89460
"2014-11-06",89542
"2014-11-07",75950
"2014-11-08",72717
"2014-11-09",84819
"2014-11-10",87338
"2014-11-11",85618
"2014-11-12",100117
"2014-11-13",88631
"2014-11-14",86307
"2014-11-15",73338
"2014-11-16",85201
"2014-11-17",88354
"2014-11-18",87321
"2014-11-19",85497
"2014-11-20",89388
"2014-11-21",77832
"2014-11-22",75041
"2014-11-23",77283
"2014-11-24",82813
"2014-11-25",90019
"2014-11-26",85111
"2014-11-27",85987
"2014-11-28",81452
"2014-11-29",79098
"2014-11-30",95220
"2014-12-01",100786
"2014-12-02",99419
"2014-12-03",100829
"2014-12-04",92900
"2014-12-05",90900
"2014-12-06",77357
"2014-12-07",84498
"2014-12-08",90746
"2014-12-09",90695
"2014-12-10",85829
"2014-12-11",84005
"2014-12-12",79512
"2014-12-13",73926
"2014-12-14",79703
"2014-12-15",98790
"2014-12-16",93704
"2014-12-17",98444
"2014-12-18",92052
"2014-12-19",91493
"2014-12-20",86901
"2014-12-21",89437
"2014-12-22",99770
"2014-12-23",99469
"2014-12-24",70684
"2014-12-25",71700
"2014-12-26",76198
"2014-12-27",74773
"2014-12-28",79812
"2014-12-29",83447
"2014-12-30",83768
"2014-12-31",58963
"2015-01-01",59344
"2015-01-02",82832
"2015-01-03",85570
"2015-01-04",85694
"2015-01-05",87160
"2015-01-06",92912
"2015-01-07",89916
"2015-01-08",105211
"2015-01-09",105895
"2015-01-10",104874
"2015-01-11",98185
"2015-01-12",99090
"2015-01-13",102309
"2015-01-14",115787
"2015-01-15",112530
"2015-01-16",104699
"2015-01-17",87047
"2015-01-18",94096
"2015-01-19",98485
"2015-01-20",100251
"2015-01-21",94979
"2015-01-22",93698
"2015-01-23",89630
"2015-01-24",82358
"2015-01-25",86558
"2015-01-26",99035
"2015-01-27",89287
"2015-01-28",85232
"2015-01-29",86360
"2015-01-30",83762
"2015-01-31",86312
"2015-02-01",83230
"2015-02-02",93499
"2015-02-03",91793
"2015-02-04",90028
"2015-02-05",83440
"2015-02-06",85705
"2015-02-07",82716
"2015-02-08",95860
"2015-02-09",104758
"2015-02-10",98701
"2015-02-11",93868
"2015-02-12",87427
"2015-02-13",107004
"2015-02-14",85355
"2015-02-15",85267
"2015-02-16",98899
"2015-02-17",104555
"2015-02-18",105719
"2015-02-19",96709
"2015-02-20",92541
"2015-02-21",87827
"2015-02-22",96936
"2015-02-23",104463
"2015-02-24",105125
"2015-02-25",101348
"2015-02-26",103395
"2015-02-27",101474
"2015-02-28",86274
"2015-03-01",102935
"2015-03-02",104937
"2015-03-03",104846
"2015-03-04",96611
"2015-03-05",101115
"2015-03-06",94270
"2015-03-07",86526
"2015-03-08",87527
"2015-03-09",112347
"2015-03-10",102856
"2015-03-11",100765
"2015-03-12",96745
"2015-03-13",88828
"2015-03-14",89511
"2015-03-15",97794
"2015-03-16",104238
"2015-03-17",99561
"2015-03-18",102414
"2015-03-19",103109
"2015-03-20",103532
"2015-03-21",84331
"2015-03-22",106330
"2015-03-23",106019
"2015-03-24",93930
"2015-03-25",98391
"2015-03-26",101181
"2015-03-27",90053
"2015-03-28",87456
"2015-03-29",90516
"2015-03-30",105294
"2015-03-31",126590
"2015-04-01",119343
"2015-04-02",103760
"2015-04-03",94152
"2015-04-04",89651
"2015-04-05",100949
"2015-04-06",111786
"2015-04-07",108714
"2015-04-08",117822
"2015-04-09",114091
"2015-04-10",112826
"2015-04-11",88884
"2015-04-12",105282
"2015-04-13",115407
"2015-04-14",105461
"2015-04-15",104063
"2015-04-16",99046
"2015-04-17",100484
"2015-04-18",86313
"2015-04-19",91134
"2015-04-20",114061
"2015-04-21",113657
"2015-04-22",111878
"2015-04-23",110568
"2015-04-24",100790
"2015-04-25",98465
"2015-04-26",109382
"2015-04-27",112434
"2015-04-28",113193
"2015-04-29",114070
"2015-04-30",105236
"2015-05-01",99560
"2015-05-02",86037
"2015-05-03",94120
"2015-05-04",104000
"2015-05-05",113496
"2015-05-06",113420
"2015-05-07",111125
"2015-05-08",98717
"2015-05-09",90054
"2015-05-10",89409
"2015-05-11",114424
"2015-05-12",108615
"2015-05-13",108858
"2015-05-14",107882
"2015-05-15",93025
"2015-05-16",90686
"2015-05-17",97915
"2015-05-18",106503
"2015-05-19",107346
"2015-05-20",99962
"2015-05-21",100591
"2015-05-22",102770
"2015-05-23",87996
"2015-05-24",105519
"2015-05-25",106086
"2015-05-26",108558
"2015-05-27",109786
"2015-05-28",110980
"2015-05-29",132907
"2015-05-30",96037
"2015-05-31",98784
"2015-06-01",133489
"2015-06-02",125399
"2015-06-03",127600
"2015-06-04",109700
"2015-06-05",102005
"2015-06-06",92696
"2015-06-07",94037
"2015-06-08",115633
"2015-06-09",121638
"2015-06-10",125147
"2015-06-11",125022
"2015-06-12",126945
"2015-06-13",100512
"2015-06-14",122279
"2015-06-15",129389
"2015-06-16",133747
"2015-06-17",122001
"2015-06-18",124929
"2015-06-19",114779
"2015-06-20",91203
"2015-06-21",96654
"2015-06-22",128795
"2015-06-23",114471
"2015-06-24",113093
"2015-06-25",115640
"2015-06-26",108876
"2015-06-27",106004
"2015-06-28",117119
"2015-06-29",149003
"2015-06-30",155869
"2015-07-01",135567
"2015-07-02",138811
"2015-07-03",129719
"2015-07-04",101714
"2015-07-05",151741
"2015-07-06",174070
"2015-07-07",200420
"2015-07-08",187202
"2015-07-09",191163
"2015-07-10",171652
"2015-07-11",204729
"2015-07-12",208685
"2015-07-13",119707
"2015-07-14",122340
"2015-07-15",115570
"2015-07-16",118048
"2015-07-17",120617
"2015-07-18",130695
"2015-07-19",112440
"2015-07-20",123367
"2015-07-21",133785
"2015-07-22",111582
"2015-07-23",109852
"2015-07-24",109918
"2015-07-25",89650
"2015-07-26",111331
"2015-07-27",115226
"2015-07-28",136195
"2015-07-29",133697
"2015-07-30",123577
"2015-07-31",163175
"2015-08-01",98976
"2015-08-02",103600
"2015-08-03",132719
"2015-08-04",130246
"2015-08-05",133758
